source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"On September 17, 2004, Whedon announced on the movie's official website that shooting had been completed.","Whedon gab auf der offiziellen Website des Films bekannt, dass die Dreharbeiten abgeschlossen waren.","2004年9月17日, 惠顿宣布影片拍摄完毕,","On September 17, 2004, Wheaton announced that the film had been filmed.",Whedon announced on the official website of the film that the filming was finished.
Uses Tar was also used as seal for roofing shingles and to seal the hulls of ships and boats.,Verwendung Tar wurde als Dichtung für Dachschindeln und für die Versiegelung der Hüllen von Schiffen und Booten verwendet.,"Tar被用作封条,用来盖屋顶和船只的船体。",Tar was used as a seal to cover the roof and the hull of the ship.,Usage Tar was used as a seal for roof shingles and for sealing the hulls of ships and boats.
"The staff has since expanded to more than thirty people and two continents with an office in Lahore, Pakistan.",Heute arbeiten mehr als dreißig Mitarbeiter auf zwei Kontinenten.,"工作人员已扩大到两大洲的30多人,办事处设在巴基斯坦拉合尔。","The staff has expanded to more than 30 persons on two continents, with the office in Lahore, Pakistan.","Today, more than thirty employees work on two continents."
David William Donald Cameron (born 9 October 1966) is the leader of the Conservative Party and Leader of Her Majesty's Loyal Opposition in the United Kingdom.,David William Donald Cameron (geb. 9. Oktober 1966) ist der Führer der Konservativen Partei. Er ist auch der Führer der loyalen Opposition Ihrer Majestät im Vereinigten Königreich.,"David William Donald Cameron生于1966年10月9日,是保守党领导人,也是英国女王陛下的忠诚反对派领导人。","David William Donald Cameron, born on 9 October 1966, is a leader of the Conservative Party and a loyal opposition leader of Her Majesty the Queen of England.","David William Donald Cameron (b. October 9, 1966) is the leader of the Conservative Party. He is also the leader of Her Majesty's loyal opposition in the United Kingdom."
"When no one showed any interest, Cave took on the task by himself.","Die Höhle übernahm die Aufgabe selbst, als niemand Interesse zeigte.",洞穴独自接管了任务 当没有人表现出任何兴趣的时候,The cave took over the mission alone when no one showed any interest.,The cave took over the task itself when no one showed interest.
It is the largest known non-spherical moon in the solar system.,"Es ist der größte, nicht runde Mond im Sonnensystem.",它是太阳系中最大的非球状月球,It's the largest non-spheric moon in the solar system.,"It is the largest, non-round moon in the solar system."
"Benjamin Jeremy ""Ben"" Stein (born November 25, 1944) is an American actor, writer, and commentator on political and economic issues.","Amerikanischer Schauspieler, Schriftsteller und politischer/ökonomischer Kommentator, Benjamin Jeremy ""Ben"" Stein wurde am 25.11.1944 geboren.","本杰明·杰里米·斯坦因是一名演员、作家和评论员,","Benjamin Jeremy Stein is an actor, writer and commentator.","American actor, writer and political/economic commentator, Benjamin Jeremy ""Ben"" Stein was born on 25.11.1944."
Some of the technologies have been adapted to social networking services and ISPs.,Einige der Technologien wurden auf Social Networking/Internet-Anbieter umgestellt.,社会网络服务和互联网提供者已经使用了其中一些技术。,Some of these technologies have already been used by social networking services and Internet providers.,Some of the technologies have been converted to social networking/Internet providers.
"He has also recorded five albums as a solo artist, debuting with Leading Off in 1994.",Er nahm fünf Alben als Solokünstler auf.,他录制了五张独唱艺术家专辑,He recorded five solo artists.,He recorded five albums as a solo artist.
"In Augustan Rome, Quirinus was also an epithet of Janus, as Janus Quirinus.",In Augustan Rom war Quirinus auch ein Beiname von Janus. Es war wie Janus Quirinus.,"Quirinus也是亚努斯·奎里纳斯在奥古斯丁罗马的一首诗,",Quirinus is also a poem by Janus Quillinas in Augustine Rome.,In Augustan Rome Quirinus was also a surname of Janus. It was like Janus Quirinus.
